settlement_id,bsp_cycle,airline_code,amount_local,currency,pnr,issue_date,ticket_number,agency_iata,source_system
BSP-2026-W19-QR188-001,2026-W19,QR,30790.87,EUR,FPE60Q,2026-05-03,098-3025030698,70333053,BSP
BSP-2026-W19-WY348-002,2026-W19,WY,20932.5,AED,3OMD4P,2026-05-02,098-8939746381,87666600,BSP
BSP-2026-W19-WY848-003,2026-W19,WY,55876.15,GBP,BOS076,2026-05-03,098-9850659228,12552775,BSP
BSP-2026-W19-MH690-004,2026-W19,MH,32269.16,INR,JX6EWX,2026-05-03,098-8290769011,12792658,BSP
BSP-2026-W19-EK394-005,2026-W19,EK,72894.7,EUR,MIH6MV,2026-05-03,098-8350343413,65950146,BSP
BSP-2026-W19-TG915-006,2026-W19,TG,47760.16,USD,WK0YEH,2026-05-03,098-9563165079,50755467,BSP
BSP-2026-W19-QR314-007,2026-W19,QR,56126.22,INR,MJYG4S,2026-04-27,098-6745527027,25296699,BSP
BSP-2026-W19-WY332-008,2026-W19,WY,12948.12,USD,R9211U,2026-04-28,098-9359156230,71355706,BSP
BSP-2026-W19-BA208-009,2026-W19,BA,78383.59,AED,283BDW,2026-04-29,098-9207621403,31076551,BSP
BSP-2026-W19-SQ825-010,2026-W19,SQ,44710.27,AED,R5FN3E,2026-04-29,098-4302972301,42925764,BSP
BSP-2026-W19-EY449-011,2026-W19,EY,29389.07,USD,DN1MXF,2026-05-02,098-4381065875,28521285,BSP
BSP-2026-W19-MH523-012,2026-W19,MH,91883.99,EUR,8SY7P1,2026-04-27,098-5659086958,52252354,BSP
BSP-2026-W19-MH890-013,2026-W19,MH,17268.14,INR,OB7FU9,2026-04-30,098-7095869833,84304333,BSP
BSP-2026-W19-SQ838-014,2026-W19,SQ,74527.05,GBP,AKT7ZQ,2026-04-29,098-8081357418,36480587,BSP
BSP-2026-W19-SQ186-015,2026-W19,SQ,4660.05,GBP,OZ5STH,2026-04-30,098-7534087794,95320264,BSP
BSP-2026-W19-EK123-016,2026-W19,EK,3761.23,AED,VI109D,2026-04-26,098-8909540656,44863921,BSP
BSP-2026-W19-GF462-017,2026-W19,GF,13257.49,SGD,7QUAMI,2026-04-29,098-6799653841,48189707,BSP
BSP-2026-W19-WY788-018,2026-W19,WY,14857.18,EUR,SILU3N,2026-04-27,098-2769753981,22381399,BSP
BSP-2026-W19-AI535-019,2026-W19,AI,88962.42,EUR,HCYOU2,2026-04-30,098-7804532904,95424369,BSP
BSP-2026-W19-MH550-020,2026-W19,MH,69212.77,EUR,0PFSRQ,2026-04-27,098-3982728970,71127098,BSP
BSP-2026-W19-EY133-021,2026-W19,EY,74903.13,AED,N8VOEU,2026-04-26,098-3245312271,25803092,BSP
BSP-2026-W19-TG412-022,2026-W19,TG,99110.99,GBP,KBF2P7,2026-04-30,098-9113438941,38934853,BSP
BSP-2026-W19-EK938-023,2026-W19,EK,74226.37,INR,EM5PUU,2026-05-01,098-8650837203,73783961,BSP
BSP-2026-W19-WY235-024,2026-W19,WY,76433.17,AED,W1YF0D,2026-05-02,098-2663162195,63069304,BSP
